id,marathi_text,modi_text,char_len
0,नमस्कार.,𑘡𑘦𑘭𑘿𑘎𑘰𑘨.,8
1,आपले स्वागत आहे.,𑘁𑘢𑘩𑘹 𑘭𑘿𑘪𑘰𑘐𑘝 𑘁𑘮𑘹.,16
2,माझे नाव राहुल आहे.,𑘦𑘰𑘖𑘹 𑘡𑘰𑘪 𑘨𑘰𑘮𑘳𑘩 𑘁𑘮𑘹.,19
3,तुझे नाव काय आहे?,𑘝𑘳𑘖𑘹 𑘡𑘰𑘪 𑘎𑘰𑘧 𑘁𑘮𑘹?,17
4,आज हवामान खूप छान आहे.,𑘁𑘕 𑘮𑘪𑘰𑘦𑘰𑘡 𑘏𑘴𑘢 𑘔𑘰𑘡 𑘁𑘮𑘹.,22
5,आज खूप ऊन आहे.,𑘁𑘕 𑘏𑘴𑘢 𑘅𑘡 𑘁𑘮𑘹.,14
6,उद्या पाऊस पडण्याची शक्यता आहे.,𑘄𑘟𑘿𑘧𑘰 𑘢𑘰𑘅𑘭 𑘢𑘚𑘜𑘿𑘧𑘰𑘓𑘲 𑘫𑘎𑘿𑘧𑘝𑘰 𑘁𑘮𑘹.,31
7,पुणे शहर खूप सुंदर आहे.,𑘢𑘳𑘜𑘹 𑘫𑘮𑘨 𑘏𑘴𑘢 𑘭𑘳𑘽𑘟𑘨 𑘁𑘮𑘹.,23
8,मुंबई ही महाराष्ट्राची राजधानी आहे.,𑘦𑘳𑘽𑘤𑘃 𑘮𑘲 𑘦𑘮𑘰𑘨𑘰𑘬𑘿𑘘𑘿𑘨𑘰𑘓𑘲 𑘨𑘰𑘕𑘠𑘰𑘡𑘲 𑘁𑘮𑘹.,35
9,महाराष्ट्र हे भारतातील एक राज्य आहे.,𑘦𑘮𑘰𑘨𑘰𑘬𑘿𑘘𑘿𑘨 𑘮𑘹 𑘥𑘰𑘨𑘝𑘰𑘝𑘲𑘩 𑘊𑘎 𑘨𑘰𑘕𑘿𑘧 𑘁𑘮𑘹.,36
10,शिवाजी महाराज हे एक महान राजा होते.,𑘫𑘱𑘪𑘰𑘕𑘲 𑘦𑘮𑘰𑘨𑘰𑘕 𑘮𑘹 𑘊𑘎 𑘦𑘮𑘰𑘡 𑘨𑘰𑘕𑘰 𑘮𑘻𑘝𑘹.,35
